RT [min],m/z meas.,M meas.,Ions,MS/MS,Name,Molecular Formula,Annotations,AQ,Annotation Source,Boxplot,Flags,Include,blank,Avatar_F8,Avatar_F9,Avatar_F10,Avatar_F11,Desiree_F8,Desiree_F9,Desiree_F10,Desiree_F11,Seresta_F8,Seresta_F9,Seresta_F10,Seresta_F11
4.22,101.94084,102.94811,[M-H]-,TRUE,,,,,,1276,[],TRUE,1192,1056,1276,1404,1202,988,4210,1094,1288,1410,1144,1468,1476
4.77,101.94084,102.94812,[M-H]-,TRUE,,,,,,1240,[],TRUE,1054,1258,1170,1346,1084,1154,1402,1146,1240,848,1360,1406,3790
0.01,101.94086,205.89627,[M-H-H]2-,FALSE,,,,,,3372,[],TRUE,2886,3384,0,3576,3372,0,3976,0,0,3996,0,3942,3692
0.3,101.94087,102.94815,[M-H]-,TRUE,,,,,,4038,[],TRUE,4038,0,0,6002,5406,0,0,6182,4798,0,5106,5548,0
1.67,101.94087,102.94815,[M-H]-,TRUE,,,,,,2376,[],TRUE,1872,1976,2430,2398,3290,2332,2964,2228,2058,2168,2382,2376,2602
0.31,101.94089,205.89634,[M-H-H]2-,TRUE,,,,,,0,[],TRUE,0,4744,4458,0,0,5954,6038,0,0,5902,0,0,5912
1.29,101.9409,205.89636,[M-H-H]2-,TRUE,,,,,,2686,[],TRUE,2388,3108,2734,9364,2686,2764,2874,2872,2632,2522,2672,2112,2296
2.34,101.9409,102.94818,[M-H]-,TRUE,,,,,,2284,[],TRUE,1816,2184,2422,2794,2650,2284,2190,1952,2130,2326,2690,3592,2172
0.04,101.94093,102.9482,[M-H]-,FALSE,,,,,,3880,[],TRUE,3426,3756,3858,3868,3970,4010,4506,3880,3976,3678,4304,4348,3720
19.79,102.93287,103.94054,"[M-H]-, [M+COOH]-",FALSE,,,,,,2016,[],TRUE,1724,2016,2088,2238,1982,1722,1912,2488,2306,1930,1824,2036,2146
12.36,102.93358,103.94086,[M-H]-,TRUE,,,,,,404,[],TRUE,328,0,218,458,0,350,492,436,412,432,370,404,828
10.93,102.93384,103.94112,[M-H]-,FALSE,,,,,,396,[],TRUE,396,588,268,470,286,740,0,432,262,346,412,432,240
1.38,102.94831,103.95558,[M-H]-,TRUE,,,,,,566,[],TRUE,490,662,524,2522,486,558,632,460,600,712,702,390,566
1.09,102.94835,103.95562,[M-H]-,FALSE,,,,,,636,[],TRUE,464,838,736,680,504,588,636,690,728,610,610,722,576
1.92,102.94872,103.95599,[M-H]-,TRUE,,,,,,516,[],TRUE,494,272,544,866,750,542,782,488,488,480,524,516,472
0.01,102.94904,103.95632,[M-H]-,FALSE,,,,,,1042,[],TRUE,626,842,1026,1164,1042,920,1312,890,1150,1344,1124,1220,954
0.3,102.94964,103.95692,[M-H]-,FALSE,,,,,,1442,[],TRUE,690,1334,1450,1236,1762,1336,1872,1272,1752,1446,1526,1432,1442
3.6,102.95521,103.96248,[M-H]-,TRUE,,,,,,636,[],TRUE,540,500,636,532,648,350,656,606,504,652,802,660,718
17.1,102.95627,103.96355,[M-H]-,TRUE,,,,,,3460,[],TRUE,3824,2780,2926,3212,2730,3402,4244,3460,3988,3748,3506,3350,4036
4.92,102.9565,103.96378,[M-H]-,TRUE,,,,,,876,[],TRUE,792,876,1194,684,876,932,966,716,1180,846,756,968,692
19.73,102.95652,103.9638,[M-H]-,TRUE,,,,,,7206,[],TRUE,5058,5458,6136,8068,7824,6402,8928,5290,9616,7206,9278,7336,5738
5.33,102.95655,103.96383,[M-H]-,TRUE,,,,,,886,[],TRUE,750,436,940,886,1000,418,1100,862,1008,652,1406,790,956
6.47,102.95664,103.96392,[M-H]-,TRUE,,,,,,1058,[],TRUE,1242,444,244,1270,1456,762,490,1390,1690,694,600,1636,1058
5.77,102.95666,103.96394,[M-H]-,TRUE,,,,,,910,[],TRUE,664,256,674,1522,910,254,804,1028,1688,382,1210,1078,1084
17.79,102.95668,103.96395,[M-H]-,TRUE,,,,,,3332,[],TRUE,2756,3554,3146,3392,3332,2668,3976,3214,3480,3072,4950,3168,3520
17.36,102.95671,103.96398,[M-H]-,TRUE,,,,,,3312,[],TRUE,2824,3078,3448,3202,2940,3356,3174,3312,3782,3718,3796,4586,2978
13.44,102.95672,103.964,[M-H]-,TRUE,,,,,,2812,[],TRUE,2406,2494,2926,2756,3878,3316,3244,2654,2846,2812,3320,2652,2322
11.75,102.95675,103.96403,[M-H]-,TRUE,,,,,,2860,[],TRUE,2798,2672,2578,3084,2782,2516,4222,3316,3562,2954,2842,2860,2940
15.47,102.95676,103.96403,[M-H]-,TRUE,,,,,,2724,[],TRUE,2282,2544,2660,3620,2966,3316,2578,2574,2742,2800,2428,2724,4034
10.93,102.9568,103.96407,[M-H]-,TRUE,,,,,,2520,[],TRUE,2480,2332,2520,2250,2582,3998,3126,2338,2894,2422,2388,3318,2770
17.58,102.95681,103.96409,[M-H]-,TRUE,,,,,,3172,[],TRUE,2994,3068,3062,3480,3200,2966,3260,5518,3012,3172,3154,3958,3636
